spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
"Reference
(Full Cohort C)",TRUE,"Candidacy
(pp)",292,1.5937671307015484,3.8671789101495793,-5.985903533191626,9.173437794594724,0.6802513091821594,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Reelection
(pp)",292,3.82532772985998,4.3561686782793165,-4.71276287956748,12.36341833928744,0.37987833911793756,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Winner vote share
(% valid votes)",329,0.5653470770029257,1.0674557747423392,-1.5268662414920589,2.6575603954979106,0.5963802393806672,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Abstention
(% registered)",332,0.8720559680452846,0.6120130509236653,-0.3274896117650994,2.0716015478556686,0.15420136076966218,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Candidate turnover
(%)",326,0.2823805110912828,1.3276012713737768,-2.3197179808013195,2.8844790029838854,0.8315632435882906,FALSE,Reference
"Reference
(Full Cohort C)",TRUE,"Incumbent vote share
(% valid votes)",156,0.8528626625730155,2.0237324980386493,-3.113653033582737,4.819378358728768,0.6734551586538985,FALSE,Reference
[Milestones] Application filed (n=351),FALSE,"Candidacy
(pp)",318,0.77648220324287065,2.821377514594414,-4.753417725362182,6.306382131847922,0.7831549589407609,FALSE,p >= 0.05
[Milestones] Application filed (n=351),FALSE,"Reelection
(pp)",318,-0.7135407480473211,3.059884503622062,-6.7109143751465625,5.2838328790519205,0.8156147473101123,FALSE,p >= 0.05
[Milestones] Application filed (n=351),FALSE,"Winner vote share
(% valid votes)",347,1.7823986543612034,0.7183603956860062,0.3744122788166313,3.1903850299057757,0.013101742723551633,TRUE,p < 0.05
[Milestones] Application filed (n=351),FALSE,"Abstention
(% registered)",351,1.0527323903030132,0.4739064279924614,0.12387579143778893,1.9815889891682374,0.026334894017549047,TRUE,p < 0.05
[Milestones] Application filed (n=351),FALSE,"Candidate turnover
(%)",345,-0.30804119818667364,0.8750494489018624,-2.023138118034324,1.4070557216609765,0.7248215265364322,FALSE,p >= 0.05
[Milestones] Application filed (n=351),FALSE,"Incumbent vote share
(% valid votes)",152,0.8165259265238713,1.0925498873451622,-1.3248718526726466,2.9579237057203893,0.4548752224108119,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Candidacy
(pp)",239,-8.03202045544204,4.325571580179422,-16.510140752593706,0.4460998417096267,0.06334527026915254,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Reelection
(pp)",239,-5.171498371022255,4.7889508080528875,-14.557841954805916,4.2148452127614044,0.28020842927015166,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Winner vote share
(% valid votes)",256,2.260663336867346,1.0688862201991067,0.16564634527709687,4.355680328457595,0.03444412891449156,TRUE,p < 0.05
[Milestones] Authorization granted (n=257),FALSE,"Abstention
(% registered)",257,1.6964671452881586,0.6563085090303543,0.4101024675886642,2.982831822987653,0.009748362975422217,TRUE,p < 0.05
[Milestones] Authorization granted (n=257),FALSE,"Candidate turnover
(%)",256,0.6392899484016215,1.4376440357925397,-2.1784923617517564,3.4570722585549993,0.656556536295001,FALSE,p >= 0.05
[Milestones] Authorization granted (n=257),FALSE,"Incumbent vote share
(% valid votes)",106,0.24082156894025616,2.5927828657502983,-4.841032847930328,5.32267598581084,0.9260006816705424,FALSE,p >= 0.05
[Milestones] Commissioning (n=332),FALSE,"Candidacy
(pp)",292,1.5937671307015484,3.8671789101495793,-5.985903533191626,9.173437794594724,0.6802513091821594,FALSE,p >= 0.05
[Milestones] Commissioning (n=332),FALSE,"Reelection
(pp)",292,3.82532772985998,4.3561686782793165,-4.71276287956748,12.36341833928744,0.37987833911793756,FALSE,p >= 0.05
[Milestones] Commissioning (n=332),FALSE,"Winner vote share
(% valid votes)",329,0.5653470770029257,1.0674557747423392,-1.5268662414920589,2.6575603954979106,0.5963802393806672,FALSE,p >= 0.05
[Milestones] Commissioning (n=332),FALSE,"Abstention
(% registered)",332,0.8720559680452846,0.6120130509236653,-0.3274896117650994,2.0716015478556686,0.15420136076966218,FALSE,p >= 0.05
[Milestones] Commissioning (n=332),FALSE,"Candidate turnover
(%)",326,0.2823805110912828,1.3276012713737768,-2.3197179808013195,2.8844790029838854,0.8315632435882906,FALSE,p >= 0.05
[Milestones] Commissioning (n=332),FALSE,"Incumbent vote share
(% valid votes)",156,0.8528626625730155,2.0237324980386493,-3.113653033582737,4.819378358728768,0.6734551586538985,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=105),FALSE,"Candidacy
(pp)",95,-4.054642892445193,6.558226809315083,-16.908767438702753,8.79948165381237,0.5364692654374883,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=105),FALSE,"Reelection
(pp)",95,-2.7089953214383007,7.797201217646528,-17.991509708025493,12.573519065148894,0.7282983313987486,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=105),FALSE,"Winner vote share
(% valid votes)",104,0.6773387432947326,1.900027288050617,-3.0467147412844766,4.4013922278739415,0.7215043611920622,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=105),FALSE,"Abstention
(% registered)",105,0.7711144901250435,1.1603383003592358,-1.5031485785790588,3.045377558829146,0.50639201199299,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=105),FALSE,"Candidate turnover
(%)",103,2.6652093745807366,2.762501850962069,-2.7492942533049187,8.079713002466391,0.33475260061533607,FALSE,p >= 0.05
[Regions] Hauts-de-France (n=105),FALSE,"Incumbent vote share
(% valid votes)",55,-0.5890484123406394,3.2893194177250584,-7.0361144710817545,5.858017646400475,0.8579146699237893,FALSE,p >= 0.05
[Regions] Grand Est (n=36),FALSE,"Candidacy
(pp)",35,-18.941307288079734,13.68926649630743,-45.772269620842295,7.889655044682829,0.1665571460670973,FALSE,p >= 0.05
[Regions] Grand Est (n=36),FALSE,"Reelection
(pp)",35,-3.6004536072428746,13.377596093775947,-29.82054195104373,22.619634736557984,0.7878381638024927,FALSE,p >= 0.05
[Regions] Grand Est (n=36),FALSE,"Winner vote share
(% valid votes)",36,-0.2958536183340557,2.4785872334345522,-5.153884595865779,4.562177359197666,0.9049938752995658,FALSE,p >= 0.05
[Regions] Grand Est (n=36),FALSE,"Abstention
(% registered)",36,0.8614067347540256,1.805142439443339,-2.6766724465549188,4.39948591606297,0.6332516298696906,FALSE,p >= 0.05
[Regions] Grand Est (n=36),FALSE,"Candidate turnover
(%)",36,-1.4586484241445836,3.916039842438875,-9.134086515324778,6.216789667035612,0.7095578009323087,FALSE,p >= 0.05
[Regions] Grand Est (n=36),FALSE,"Incumbent vote share
(% valid votes)",14,-1.727579680570606,4.457012515216861,-10.463324210395653,7.00816484925444,0.6983786078930352,FALSE,p >= 0.05
[Regions] Brittany (n=25),FALSE,"Candidacy
(pp)",20,-5.292634688885642,15.997598418177013,-36.64792758851259,26.062658210741304,0.7408636019427121,FALSE,p >= 0.05
[Regions] Brittany (n=25),FALSE,"Reelection
(pp)",20,2.772168342658431,18.220942614457623,-32.94087918167851,38.485215866995375,0.8791166772789039,FALSE,p >= 0.05
[Regions] Brittany (n=25),FALSE,"Winner vote share
(% valid votes)",23,3.5829934463858284,4.953223042466991,-6.125323716849474,13.29131060962113,0.4696600525830925,FALSE,p >= 0.05
[Regions] Brittany (n=25),FALSE,"Abstention
(% registered)",25,2.44868006714745,1.8122868051894123,-1.1034020710237984,6.000762205318698,0.17700118107244678,FALSE,p >= 0.05
[Regions] Brittany (n=25),FALSE,"Candidate turnover
(%)",23,-3.558648315803511,3.8224659686913256,-11.05068161443851,3.9333849828314866,0.3521507490335607,FALSE,p >= 0.05
[Regions] Brittany (n=25),FALSE,"Incumbent vote share
(% valid votes)",10,18.274114700276893,10.996713342701788,-3.2794434514186115,39.827672851972395,0.09821469616449802,FALSE,p >= 0.05
[Regions] Normandy (n=25),FALSE,"Candidacy
(pp)",23,-8.051998477649011,8.897418028141383,-25.49093781280612,9.386940857508097,0.36558614381824694,FALSE,p >= 0.05
[Regions] Normandy (n=25),FALSE,"Reelection
(pp)",23,-18.157253944756636,10.634204123804377,-39.00029402741322,2.6857861378999424,0.08789759039525358,FALSE,p >= 0.05
[Regions] Normandy (n=25),FALSE,"Winner vote share
(% valid votes)",25,-1.7626024994391989,4.503554383277007,-10.589569090662131,7.064364091783734,0.6955564477977536,FALSE,p >= 0.05
[Regions] Normandy (n=25),FALSE,"Abstention
(% registered)",25,-0.8660439903503099,2.904222945007377,-6.5583209625647685,4.826232981864149,0.7655790402090763,FALSE,p >= 0.05
[Regions] Normandy (n=25),FALSE,"Candidate turnover
(%)",25,8.177521317868687,4.701469863892627,-1.037359615360863,17.392402251098236,0.08212640719442446,FALSE,p >= 0.05
[Regions] Normandy (n=25),FALSE,"Incumbent vote share
(% valid votes)",13,-1.6782311676339359,5.630891504974607,-12.714778517384165,9.358316182116294,0.7657654125114877,FALSE,p >= 0.05
[Regions] Other regions (n=141),FALSE,"Candidacy
(pp)",119,9.172281023574259,6.0121667924166,-2.611565889562277,20.956127936710793,0.1271339419801952,FALSE,p >= 0.05
[Regions] Other regions (n=141),FALSE,"Reelection
(pp)",119,9.778348039414889,6.74563315915491,-3.443092952528735,22.99978903135851,0.1472033117385505,FALSE,p >= 0.05
[Regions] Other regions (n=141),FALSE,"Winner vote share
(% valid votes)",141,-0.29291378836156445,1.5995808068961908,-3.428092169878098,2.8422645931549693,0.8547076230604587,FALSE,p >= 0.05
